term,definition
disclaim,to deny
illiberal,narrow-minded
profundity,intellectual depth
loath,unwilling; reluctant
insouciance,casual lack of concern; indifference
posit,to put forth; assert
quixotic,overly idealistic; impractical
rancorous,bitter; hateful; malevolent
superseded,to replace
duplicity,treachery; deceitfulness
cabal,a secret political clique or faction
rustic,country-like; simple; plain; akward; one who lives in the country
affectless,showing or expressing no emotion
vacuity,a lack; emptiness or absence
indolence,avoidance of activity or exertion; laziness
complacence/complacency,self-satisfaction; smugness
insipid,lacking interest or flavor
calumnies,false and malicious statements; slander
equivocal,open to more than one interpretation; ambiguous
stigmatized,identified with disgrace; condemned
stolid,unemotional; lacking sensitivity
hegemony,domination over others
perspicacious,keen; mentally sharp
opulent,wealthy; luxurious; ample; grandiose
abreast of,to remain current
munificent,very generous
precocious,talented beyond one's age
cajole,"to coax, persuade through flattery or artifice; to deceive with soothing thoughts or false promises"
unseemly,not suitable; inappropriate or improper
presage,to foretell; indicate in advance
sanguine,cheerful; optimistic
discerning,having or revealing keen insight and good judgement; shrewd
obloquies,abusive language
acerbic,bitter; sharp in taste or temper
maladroitness,clumsiness; awkwardness
inform,"inspire; animate; give substance, essence, or context to; be the characteristic quality of"
coalesced,joined together into a whole
inscrutable,impossible to understand or interpret
emblematic of,representative of
perpetuity,a time period lasting through the ages; eternity
facetious,humourous; not meant seriously
assuage,to make easier or milder; relieve; to quiet; calm; to put an end to; appease; satisfy; quench
screed,an abusive rant (often tedious)
volubility,talkativeness
redresses,corrects or rights a wrong
profligate,wasteful and immoral
obsequious,obedient or attentive to an excessive or servile degree
canard,a false rumor; fabricated story
sophistry,a deliberately deceptive or misleading argument; use of fallacious arguments
evanescent,vanishing; soon passing away; light and airy
gainsay,to deny; dispute; oppose
congenial,getting on well with others; agreeable; pleasant
allegorical,symbolic; metaphorical
reverent,deeply respectful
lascivious,lustful or lewd
deposed,removed from office or power
dissolute,loose in one's morals or behavior
infirmity,"a weakness or ailment (physical, mental, moral, etc.)"
tendentious,biased; opinionated
parochial,limited in range or scope; narrow; provincial
subservient to,prepared to obey others unquestioningly
derivative,unoriginal; taken from something already existing
inimical,hostile; unfriendly
brusque,short; abrupt; dismissive
providential,happening by good fortune
denigrate,to attack the reputation of; to speak ill of
capricious,subject to whims or passing fancies
caustic, biting in wit; sarcastic/sharp
leery of,cautious
aghast,horrified
desultory,jumping from one thing to another; disconnected
equinamity,calmness and evenness of mind
syncopated,abbreviated; music stressing the weak beat
hueristic,a problem solving approach (algorithm) to find a satisfactory solution where finding an optimal or exact solution is impractical or impossible
panned,to criticize severely
conversance,familiar with or knowledgeable about something
heterodox,unorthodox
dispensation,a special allowance; privilege; gift
abettor,one who helps or encourages or incites another
askance to,with an attitude or look of suspicion or disapproval
cogent,forceful; convincing; relevant; to the point
veracity,truthfulness; honesty
actuarial,calculating; pertaining to insurance statistics
truism,a way-too-obvious truth
purblind,having poor vision; nearly or partly blind
expatiation,to speak or write at length
dissemble,to disguise; to pretend
demonize,portray as wicked and threatening
anathema,an object of intense dislike; a curse or strong denunciation
sangfoid,"composure or coolness, especially in trying circumstances"
inveigle,to tempt or persuade by using deception or flattery
apathetic,feeling or showing little emotion
candor,honesty
avaricious,excessively greedy
assent,to express agreement; agreement
concomitant,accompanying in a subordinate fashion
decamped,having left quickly and/or secretly
chary of,suspicious or slightly scared of
aver,to affirm; declare confidently
deftly,skillfully
exacting,demanding perfection; strict
protean,changeable
modicum,a small amount of something
ascetic,practicing self-denial; austere
disseminate,to scatter or spread widely
idiosyncratic,peculiar to one person; highly individualized
piques,to excite or cause interest
prologue,a speech passage or event coming before the main speech or event
sagacious,wise; having keen perception and sound judgement
vociferously,in a loud-voiced manner; vehemently; noisily
dissipation,wasteful spending; squandering
impugn,to call into question; to attack as false
nugatory,of no value or importance
listlessly,without energy or interest
licentious,morally unrestrained
wend,"go in a specified direction, typically slowly or by an indirect route"
misanthrope,a person who dislikes humankind and avoids human society
enervating,causing one to feel drained of energy or vitality
sable,(n.) a marten with a short tail and dark brown fur; (adj.) black
exhortation,an address or communication emphatically urging someone to do something
diptych,"a painting, especially an altarpiece, on two hinged wooden panels which may be close like a book"
oeuvre,"the works of a painter, composer, or author regarded collectively"
austerity,the condition of living without unnecessary things and without comfort
audacious,showing a willingness to take surprisingly bold risks
impudent,not showing due respect for another person; impertinent
repose,the state of being at rest
succor,assistance and support in times of hardship and distress
amity,a friendly relationship
dolor,a state of great sorrow or distress
virescence,the state or condition of becoming green
immiseration,economic impoverishment
lithe,"(especially of a person's body) thin, supple, and graceful"
adulation,uncritical admiration and praise of
salience,the quality of being particularly noticeable or important; prominence
in thrall,under someone's or something's control in some way
recompense,make amends to (someone) for loss or harm suffered; compensate
cudgel,a think club or stick
gyre,whirl or gyrate
cosseted,cared for and protected in an overindulgent way; pampered
poleaxed,"hit, kill, or knock down with or as if with a poleaxe"
cadged,ask for or obtain (something which one is not strictly entitled)
ardor,enthusiasm or passion
elides,omit (a sound or syllable) when speaking; join together; merge
besuited,"(of a person, especially a man) wearing a suit"
implacable,unable to be placated; relentless; unstoppable
mien,"a person's look or manner, especially one of a particular kind indicating their character or mood"
requited,"make appropriate return for (a favor, service, or wrongdoing)"
puerile,childishly silly and trivial
gibe,an insulting remark intended to make someone look foolish
auteur,a filmmaker whose personal influence and artistic control over a movie are so great that the filmmaker is regarded as the author of the movie
venality,the condition or quality of showing or being motivated by susceptibility to bribery
internecine,destructive to both sides in a conflict
hustings,a meeting at which candidates in an election address potential voters
priggish,self-righteously moralistic and superior